TermAndYearTaken,Year,DRNO,TIMEOCC,LOCATION
Northeast,SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT,141115515,2300, 2300         DORRIS                       PL
Northeast,THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER),141115522,2100, 1300         LINDA ROSA                   AV
Northeast,VEHICLE - STOLEN,141115528,2200, 5100         HERMOSA                      AV
Northeast,VANDALISM - MISDEAMEANOR ($399 OR UNDER),141115530,1930,  100      N  AVENUE 66
Northeast,THEFT PLAIN - PETTY ($950 & UNDER),141115545,1230,              EL PASO
Northeast,VIOLATION OF COURT ORDER,141115558,2000, 2800         AVENEL                       ST
Northeast,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),141115574,2300, 6000         BURWOOD                      AV
Northeast,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),141115575,1800, 1300         MCCOLLUM                     ST
77th Street,SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT,141218943,30,              70TH                         ST
77th Street,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",141218946,210, 8400      S  SAN PEDRO                    ST
77th Street,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",141218947,210, 8400      S  SAN PEDRO                    ST
77th Street,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",141218948,240, 6100      S  VICTORIA                     AV
77th Street,ROBBERY,141218951,545, 7700      S  WESTERN                      AV
77th Street,ROBBERY,141218952,430,              83RD                         ST
77th Street,TRAFFIC DR #,141218954,215,              GAGE                         AV
77th Street,ROBBERY,141218959,350,              FIGUEROA                     ST
77th Street,TRAFFIC DR #,141218961,830, 1200      W  60TH                         PL
77th Street,TRAFFIC DR #,141218962,940,              HALLDALE                     AV
77th Street,TRAFFIC DR #,141218967,2005,              VERMONT                      AV
77th Street,ROBBERY,141218969,345,              SAINT ANDREWS
77th Street,ATTEMPTED ROBBERY,141218971,920,              VERMONT
77th Street,TRAFFIC DR #,141218973,1800,              SLAUSON                      AV
77th Street,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",141218985,1820, 5800      S  VERMONT                      AV
77th Street,TRAFFIC DR #,141218988,630,              WESTERN
77th Street,VANDALISM - MISDEAMEANOR ($399 OR UNDER),141218994,2045,  800      W  79TH                         ST
77th Street,THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER),141218998,15,  600      W  81ST                         ST
77th Street,ROBBERY,141219011,820, 1700      W  MANCHESTER                   AV
77th Street,ROBBERY,141219013,1930, 1800      W  SLAUSON                      AV
77th Street,ROBBERY,141219025,1100, 3400      W  SLAUSON                      AV
77th Street,BURGLARY FROM VEHICLE,141219026,30, 6700         ARLINGTON                    AV
77th Street,BURGLARY FROM VEHICLE,141219032,250, 1600      W  84TH                         ST
77th Street,BURGLARY FROM VEHICLE,141219036,430, 1900      W  93RD                         ST
77th Street,BURGLARY FROM VEHICLE,141219038,1830, 4400      S  HOOVER                       ST
77th Street,"BURGLARY FROM VEHICLE, ATTEMPTED",141219040,240,  300      W  84TH                         PL
77th Street,TRAFFIC DR #,141219065,55,              AVALON                       BL
77th Street,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",141219086,1700, 1400      W  65TH                         ST
77th Street,VIOLATION OF COURT ORDER,141219098,900, 7500         AVALON                       BL
Newton,SPOUSAL (COHAB) ABUSE - AGGRAVATED ASSAULT,141300729,2300,  600      E  23RD                         ST
Newton,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",141300730,2230,  500      E  PICO                         BL
Newton,TRESPASSING,141316880,210,  100      W  30TH                         ST
Newton,ROBBERY,141316884,10,              42ND                         ST
Newton,BATTERY - SIMPLE ASSAULT,141316886,340,              53RD                         ST
Newton,BATTERY - SIMPLE ASSAULT,141316888,740, 5900      S  MAIN                         ST
Newton,TRAFFIC DR #,141316889,1145,              12TH                         ST
Newton,SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT,141316890,1020,  300      E  59TH                         PL
Newton,ROBBERY,141316891,1235,              10TH                         ST
Newton,TRAFFIC DR #,141316892,1245,              HOOPER
Newton,SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT,141316893,1430,              WASHINGTON                   BL
Newton,TRAFFIC DR #,141316895,1420,              BROADWAY                     PL
Newton,VEHICLE - STOLEN,141316896,630, 3700         BROADWAY                     PL
Newton,VEHICLE - STOLEN,141316897,1530,  500      E  12TH                         ST
Newton,TRAFFIC DR #,141316900,2250,              ALAMEDA                      ST
Newton,CRIMINAL HOMICIDE,141316901,1825, 5400      S  CENTRAL                      AV
Newton,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",141316902,1825, 5400      S  CENTRAL                      AV
Newton,BATTERY - SIMPLE ASSAULT,141316904,1550,              59TH                         ST
Newton,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",141316906,1550,              59TH                         ST
Newton,TRAFFIC DR #,141316907,930,              BROADWAY
Newton,CRIMINAL THREATS - NO WEAPON DISPLAYED,141316908,1820, 4000      S  BROADWAY
Newton,ROBBERY,141316911,2115,              OLYMPIC
Newton,BATTERY - SIMPLE ASSAULT,141316916,2210, 5500      S  CENTRAL                      AV
Newton,BATTERY - SIMPLE ASSAULT,141316917,2210,              55TH                         ST
Newton,ROBBERY,141316919,1710, 4000      S  MAIN                         ST
Newton,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",141316920,2300, 1700      E  52ND                         ST
Newton,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",141316927,1730,              54TH                         ST
